epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6509,1.69782,2.13321,1.91174,0.08994,0.06352,0.17671,0.03959,0.01302,2.50648,8.4834,2.35138,0.08837,0.0032967,0.0032967,0.0703297
2,64.936,1.44344,1.52841,1.8112,0.0549,0.43296,0.50702,0.46864,0.3022,1.38897,16.7067,1.77666,0.06046,0.00659722,0.00659722,0.0402969
3,90.76,1.44689,1.52965,1.82006,0.05669,0.64361,0.57638,0.59286,0.37915,1.52954,9.75003,2.40814,0.07187,0.00986473,0.00986473,0.010231
4,116.346,1.38834,1.4762,1.7639,0.05288,0.69987,0.64121,0.6753,0.42546,1.36349,3.71652,2.14297,0.05338,0.0098515,0.0098515,0.0098515
5,142.442,1.3052,1.33644,1.70428,0.04967,0.74408,0.72265,0.77942,0.54258,1.08468,2.3578,1.56469,0.03399,0.009802,0.009802,0.009802
6,167.814,1.28173,1.29009,1.69417,0.04489,0.79696,0.71841,0.80412,0.57953,1.02105,0.904,1.48979,0.0462,0.0097525,0.0097525,0.0097525
7,193.343,1.24935,1.25279,1.66463,0.04427,0.7774,0.82742,0.8593,0.65707,0.82323,0.75041,1.36885,0.03272,0.009703,0.009703,0.009703
8,218.751,1.21996,1.21659,1.63654,0.04006,0.79538,0.79602,0.83753,0.61393,0.90239,0.87293,1.44484,0.03047,0.0096535,0.0096535,0.0096535
9,244.455,1.2062,1.20495,1.64458,0.03798,0.82549,0.82026,0.88049,0.66849,0.85466,0.74817,1.37671,0.02636,0.009604,0.009604,0.009604
10,270.117,1.18704,1.14744,1.60636,0.03704,0.81617,0.81756,0.88094,0.66628,0.84161,0.74808,1.39955,0.02828,0.0095545,0.0095545,0.0095545
11,295.412,1.17391,1.14634,1.60976,0.03751,0.82166,0.8142,0.87259,0.65525,0.87456,0.96234,1.3826,0.03358,0.009505,0.009505,0.009505
12,321.152,1.1411,1.11205,1.58358,0.03567,0.81668,0.84228,0.88259,0.68758,0.76986,0.70399,1.34314,0.02668,0.0094555,0.0094555,0.0094555
13,346.894,1.13452,1.09633,1.57871,0.03465,0.83331,0.84145,0.89889,0.70092,0.77563,0.6118,1.35769,0.029,0.009406,0.009406,0.009406
14,372.183,1.14216,1.08794,1.58343,0.03468,0.80731,0.85384,0.89509,0.69967,0.78412,0.67544,1.34067,0.03343,0.0093565,0.0093565,0.0093565
15,397.528,1.10573,1.05186,1.54935,0.03381,0.84781,0.81423,0.89955,0.71671,0.76876,0.64365,1.36121,0.01976,0.009307,0.009307,0.009307
16,422.894,1.0983,1.03703,1.53498,0.03136,0.8548,0.85074,0.92243,0.72605,0.76952,0.60357,1.34071,0.02112,0.0092575,0.0092575,0.0092575
17,448.38,1.08752,1.02788,1.53601,0.03191,0.83957,0.85962,0.91221,0.72383,0.74152,0.57664,1.29815,0.01861,0.009208,0.009208,0.009208
18,473.486,1.11233,1.03179,1.55804,0.03165,0.81022,0.8398,0.89261,0.705,0.7582,0.70359,1.3382,0.02358,0.0091585,0.0091585,0.0091585
19,498.761,1.09858,1.01954,1.55732,0.03224,0.84413,0.87206,0.90878,0.71567,0.75588,0.67586,1.3488,0.02033,0.009109,0.009109,0.009109
20,524.046,1.08915,1.01412,1.5527,0.0294,0.87262,0.85416,0.92198,0.74085,0.7551,0.57815,1.29517,0.02133,0.0090595,0.0090595,0.0090595
