epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3493,1.77879,2.22658,1.9577,0.11926,0.02385,0.02147,0.00687,0.00265,3.06133,5.03251,3.98062,0.357,0.0032967,0.0032967,0.0703297
2,57.3589,1.51525,1.59379,1.8355,0.09518,0.56745,0.43765,0.44938,0.29364,nan,nan,nan,nan,0.00659722,0.00659722,0.0402969
3,83.5905,1.53251,1.61467,1.87067,0.09937,0.71678,0.65413,0.72798,0.47829,1.15333,5.96168,1.71516,0.04967,0.00986473,0.00986473,0.010231
4,108.674,1.46779,1.54514,1.83437,0.09127,0.78761,0.68043,0.77079,0.54017,1.08398,2.8389,1.56124,0.06298,0.0098515,0.0098515,0.0098515
5,133.942,1.4112,1.4374,1.79538,0.08355,0.74307,0.70355,0.75882,0.55406,1.04138,1.40499,1.6065,0.07261,0.009802,0.009802,0.009802
6,159.201,1.34383,1.34935,1.74371,0.07225,0.79279,0.74732,0.80545,0.57862,0.99871,1.13058,1.48633,0.0471,0.0097525,0.0097525,0.0097525
7,184.565,1.32906,1.33208,1.73676,0.07003,0.78583,0.77787,0.83653,0.62616,0.90405,0.94586,1.50111,0.03563,0.009703,0.009703,0.009703
8,209.789,1.2895,1.2775,1.70383,0.06745,0.83948,0.7597,0.86014,0.6583,0.88594,0.7838,1.40042,0.03801,0.0096535,0.0096535,0.0096535
9,235.098,1.274,1.25934,1.69081,0.06304,0.8023,0.82164,0.86195,0.663,0.85399,0.75805,1.40729,0.04271,0.009604,0.009604,0.009604
10,260.306,1.24265,1.22705,1.66052,0.05946,0.8276,0.80864,0.87313,0.6749,0.85577,0.70375,1.40943,0.03799,0.0095545,0.0095545,0.0095545
11,285.479,1.25743,1.2385,1.68093,0.0618,0.83172,0.82411,0.88569,0.65121,0.90812,0.87355,1.42227,0.04,0.009505,0.009505,0.009505
12,310.838,1.216,1.17924,1.64165,0.05708,0.84324,0.80182,0.89214,0.69806,0.81103,0.67906,1.39097,0.02722,0.0094555,0.0094555,0.0094555
13,336.453,1.19799,1.15461,1.6296,0.05559,0.82756,0.8076,0.87616,0.67463,0.8505,0.74523,1.40902,0.03899,0.009406,0.009406,0.009406
14,361.877,1.20902,1.15706,1.63561,0.05459,0.84656,0.8155,0.88952,0.67655,0.86876,0.70429,1.36324,0.03896,0.0093565,0.0093565,0.0093565
15,387.441,1.16457,1.11577,1.5996,0.05248,0.79363,0.85879,0.89825,0.69484,0.79751,0.69053,1.36442,0.02942,0.009307,0.009307,0.009307
16,412.919,1.16514,1.10241,1.60003,0.05105,0.83265,0.8431,0.89073,0.67317,0.81899,0.70404,1.4501,0.02257,0.0092575,0.0092575,0.0092575
17,438.386,1.15776,1.08806,1.59507,0.05269,0.8224,0.85467,0.8941,0.70667,0.776,0.6475,1.36146,0.03385,0.009208,0.009208,0.009208
18,464.003,1.17015,1.10416,1.60017,0.05168,0.83417,0.81503,0.89699,0.68853,0.81379,0.65027,1.38555,0.0356,0.0091585,0.0091585,0.0091585
19,489.587,1.16076,1.08675,1.60744,0.04951,0.84611,0.79906,0.88771,0.67562,0.83211,0.8614,1.39466,0.0509,0.009109,0.009109,0.009109
20,514.976,1.14396,1.07511,1.5966,0.04765,0.83315,0.82989,0.89336,0.68721,0.8573,0.70239,1.4062,0.03506,0.0090595,0.0090595,0.0090595
21,540.442,1.15262,1.07563,1.59418,0.04925,0.84808,0.8365,0.89976,0.69921,0.79612,0.62983,1.34968,0.02978,0.00901,0.00901,0.00901
22,565.959,1.12261,1.04271,1.57167,0.04845,0.86863,0.85879,0.92165,0.72292,0.75749,0.62937,1.34363,0.03331,0.0089605,0.0089605,0.0089605
23,591.309,1.12673,1.05095,1.58616,0.04812,0.82917,0.8337,0.89634,0.69557,0.78991,0.66571,1.3409,0.03558,0.008911,0.008911,0.008911
24,616.504,1.12321,1.03818,1.57575,0.04642,0.8738,0.87036,0.93138,0.74406,0.75021,0.57222,1.32164,0.03271,0.0088615,0.0088615,0.0088615
25,641.822,1.11879,1.03198,1.57663,0.045,0.8369,0.84476,0.9094,0.71934,0.75967,0.59308,1.34465,0.03374,0.008812,0.008812,0.008812
26,667.062,1.10166,1.02268,1.55718,0.04676,0.87012,0.86851,0.93143,0.74002,0.72225,0.55691,1.31751,0.02037,0.0087625,0.0087625,0.0087625
27,692.154,1.09266,0.99705,1.5461,0.04368,0.85901,0.86375,0.92173,0.73455,0.75306,0.57857,1.31812,0.02809,0.008713,0.008713,0.008713
28,717.385,1.0964,1.00393,1.55431,0.0461,0.83705,0.87779,0.91503,0.72757,0.72858,0.56752,1.31043,0.02401,0.0086635,0.0086635,0.0086635
29,742.676,1.09012,0.99499,1.53926,0.04405,0.88613,0.87614,0.93296,0.75485,0.71412,0.54606,1.30159,0.02137,0.008614,0.008614,0.008614
